Names
Accipters
American Crow
American Goldfinch
American kestrel
American Robin
Bald Eagle
Black-billed Magpie
Black-capped Chickadee
Buteos
California Quail
Common Raven
Cooper's hawk
Dark-eyed Junco
Eurasian Collared-Dove
European Starling
Falcons
Ferruginous hawk
Golden eagle
Gyrfalcon
House Finch
House Sparrow
Merlin
Mourning Dove
Northern Flicker
Northern goshawk
Northern harrier
Osprey
Penegrine falcon
Pine Siskin
Prairie falcon
Red-breasted Nuthatch
Red-tailed hawk
Red-winged Blackbird
Rough-legged hawk
Sharp-shinned hawk
Song Sparrow
Swainson's hawk
Turkey Vulture
Western Meadowlark
Western Screech-Owl
Yellow Warbler
Yellow-rumped Warbler 
Brown-Headed Cowbird
Spotted Towhee
Brewer's Blackbird
Yellow-Headed Blackbird
American Coot
Double-crested Cormorant
Downy Woodpecker
Lark Bunting
Red-naped Sapsucker
Williamson's Sapsucker
Hairy Woodpecker
Black-necked stilt
Lesser Scaup
American Avocet
Pileated Woodpecker
Western Grebe
Lazuli Bunting
Tree Swallow
Barn Swallow
Western Bluebird
Mountain Bluebird
Belted Kingfisher
Chestnut-backed chickadee
Brown Creeper
Chipping Sparrow
House finch
House wren
Cliff swallow
Rock wren
Gray-crowned Rosy-Finch
Cassin's Finch
Lark Sparrow
White-crowned sparrow
Fox sparrow
Horned Lark
Cedar waxwing
Spotted Sandpiper
Black-headed Grosbeak
Comon nighthawk
Killdeer
Pied-Billed Grebe
Green-winged Teal
Cinnamon Teal
Ruffed Grouse
Wood Duck
American Wigeon
Northern Shoveler
Blue Grouse
Great horned owl
Long billed curlew
Northern Pintail
Mallard
Ring-necked pheasant
Wild Turkey
Ruby-crowned kinglet
Pygmy Nuthatch
Mountain Chickadee
